id;gender;phone;address_line_1;address_line_2;city;country
1;MALE;(685) 809-3695 x700;superb till stale;while because;Davis;Morocco
2;MALE;846-531-0736 x491;than towards through;wooden drench;Pico Rivera;Rwanda
3;FEMALE;1-365-710-5116;yuck ick;nutrient rejig next;Danbury;Guyana
4;FEMALE;(524) 324-2616 x2430;lightly open reschedule;and boo;Greenwood;Colombia
5;FEMALE;287-291-9130 x483;strictly over despite;however pitiful the;Erickland;Malta
6;FEMALE;1-470-947-9736 x3396;abundance meanwhile glimmer;suffer ick pfft;Ziemeview;Aruba
7;MALE;(729) 838-9835 x12354;doughnut;before;Elizabeth;Jordan
8;FEMALE;(261) 392-4117 x34762;longingly;boo;Westchester;Jamaica
9;OTHER;1-961-528-3384 x0976;mmm pumpkin ground;impoverish zowie gentleman;Deltona;Azerbaijan
10;OTHER;439.734.5156;mitten yoke queasily;ugh brr aha;Boscoburgh;China
